originScore | calculated
5 | 4.53
5 | 4.42
5 | 4.43
5 | 4.40
4 | 4.45
5 | 4.46
5 | 4.01
5 | 4.46
4 | 4.57
4 | 4.45
5 | 4.46
5 | 4.52
5 | 4.46
5 | 4.53
5 | 4.46
3 | 4.44
5 | 4.45
4 | 4.46
4 | 4.44
2 | 4.31
5 | 4.46
0 | 3.93
4 | 4.45
5 | 4.45
5 | 4.46
5 | 4.44
5 | 4.42
5 | 4.44
4 | 4.45
5 | 4.46
5 | 4.46
5 | 4.50
4 | 4.57
5 | 4.51
5 | 4.45
4 | 4.45
5 | 4.52
5 | 4.46
5 | 4.45
5 | 4.46
5 | 4.64
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.40
5 | 4.53
5 | 4.46
5 | 4.46
5 | 4.52
5 | 4.50
5 | 4.46
5 | 4.51
5 | 4.52
5 | 4.46
5 | 4.48
5 | 4.46
4 | 4.53
5 | 4.52
5 | 4.53
5 | 4.46
5 | 4.46
5 | 4.36
4 | 4.46
4 | 4.44
4 | 4.49
5 | 4.45
4 | 4.45
4 | 4.45
5 | 4.45
4 | 4.44
5 | 4.46
5 | 4.53
5 | 4.46
5 | 4.43
5 | 4.72
5 | 4.53
5 | 4.45
5 | 4.46
4 | 4.45
5 | 4.53
5 | 4.46
5 | 4.46
5 | 4.45
5 | 4.44
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.45
5 | 4.44
5 | 4.45
5 | 4.53
4 | 4.46
4 | 4.40
5 | 4.46
5 | 4.53
5 | 4.46
5 | 4.46
5 | 4.38
5 | 4.52
5 | 4.46
4 | 4.46
4 | 4.45
5 | 4.46
5 | 4.52
4 | 4.46
5 | 4.46
4 | 4.42
5 | 4.45
3 | 4.44
5 | 4.51
4 | 4.51
3 | 4.41
5 | 4.53
5 | 4.52
4 | 4.46
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.49
5 | 4.45
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.41
3 | 4.45
3 | 4.43
4 | 4.42
5 | 4.58
5 | 4.53
5 | 4.46
5 | 4.46
5 | 4.42
4 | 4.46
5 | 4.46
4 | 4.45
5 | 4.46
5 | 4.51
5 | 4.44
5 | 4.45
5 | 4.52
5 | 4.45
4 | 4.46
4 | 4.45
5 | 4.45
4 | 4.46
5 | 4.46
5 | 4.53
4 | 4.46
4 | 4.46
5 | 4.41
5 | 4.46
5 | 4.46
5 | 4.38
5 | 4.52
5 | 4.46
4 | 4.59
5 | 4.52
5 | 4.45
4 | 4.45
4 | 4.52
5 | 4.52
5 | 4.44
5 | 4.46
4 | 4.46
5 | 4.46
5 | 4.58
5 | 4.46
5 | 4.46
5 | 4.46
4 | 4.45
5 | 4.53
5 | 4.45
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.45
5 | 4.44
4 | 4.46
5 | 4.27
5 | 4.53
4 | 4.43
3 | 4.40
5 | 4.46
5 | 4.46
5 | 4.52
4 | 4.46
5 | 4.45
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.46
0 | 4.53
5 | 4.46
4 | 4.52
5 | 4.44
5 | 4.46
5 | 4.46
4 | 4.44
5 | 4.41
5 | 4.45
5 | 4.46
2 | 4.46
5 | 4.45
5 | 4.52
5 | 4.46
5 | 4.50
5 | 4.44
5 | 4.44
4 | 4.45
5 | 4.52
4 | 4.45
4 | 4.53
5 | 4.44
5 | 4.46
5 | 4.44
5 | 4.46
5 | 4.44
5 | 4.46
5 | 4.53
5 | 4.53
5 | 4.46
5 | 4.46
5 | 4.46
5 | 4.45
5 | 4.52
5 | 4.46
5 | 4.46
5 | 4.45
5 | 4.46
5 | 4.45
5 | 4.40
5 | 4.46
4 | 4.46
5 | 4.46
5 | 4.46
5 | 4.53
5 | 4.46
5 | 4.46
Wynik: 0.29
